[2026-02-14 12:58:57] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:57] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:58] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo stress unificato: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo metriche estese: 'timestamp'
[2026-02-14 12:58:59] [WARNING] Errore calcolo stress unificato: 'timestamp'
